InstanceID,ClassID,PanopticID,R,G,B,Name,Size
1,1,0,31,119,180,wall,M
2,2,0,255,127,14,floor,M
3,3,1,44,160,44,cabinet,M
4,4,1,214,39,40,bed,M
5,5,1,148,103,189,chair,M
6,6,1,140,86,75,sofa,M
7,7,1,227,119,194,table,M
8,8,1,127,127,127,door,M
9,9,1,188,189,34,window,M
10,10,1,23,190,207,bookshelf,M
11,11,1,31,119,180,picture,M
12,12,1,255,127,14,counter,M
13,13,1,44,160,44,blinds,M
14,14,1,214,39,40,desk,M
15,15,1,148,103,189,shelves,M
16,16,1,140,86,75,curtain,M
17,17,1,227,119,194,dresser,M
18,18,1,127,127,127,pillow,M
19,19,1,188,189,34,mirror,M
20,20,1,23,190,207,floor mat,M
21,21,1,31,119,180,clothes,M
22,22,0,255,127,14,ceiling,M
23,23,1,44,160,44,books,M
24,24,1,214,39,40,refridgerator,M
25,25,1,148,103,189,television,M
26,26,1,140,86,75,paper,M
27,27,1,227,119,194,towel,M
28,28,1,127,127,127,shower curtain,M
29,29,1,188,189,34,box,M
30,30,1,23,190,207,whiteboard,M
31,31,1,31,119,180,person,M
32,32,1,255,127,14,night stand,M
33,33,1,44,160,44,toilet,M
34,34,1,214,39,40,sink,M
35,35,1,148,103,189,lamp,M
36,36,1,140,86,75,bathtub,M
37,37,1,227,119,194,bag,M
38,38,1,127,127,127,otherstructure,M
39,39,1,188,189,34,otherfurniture,M
40,40,1,23,190,207,otherprop,M
